,0,1
0,rented textbook,8
1,need return,4
2,return rented,4
3,textbook bookstore,4
4,bookstore extending,4
5,extending return,4
6,return period,4
7,period rented,4
8,textbook give,4
9,give more,4
10,more time,4
11,faculty art,2
12,art social,2
13,social science,2
14,science present,2
15,present dear,2
16,dear class,2
17,class cuproud,2
18,cugradstudies phd,2
19,phd student,2
20,student win,2
21,win prestigious,2
22,prestigious award,2
23,award their,2
24,their northern,2
25,northern research,2
26,ottawahealth have,2
27,have heard,2
28,heard myth,2
29,myth about,2
30,about alcohol,2
31,alcohol find,2
32,find fact,2
33,fact here,2
34,faq friday,2
35,friday how,2
36,how much,2
37,much time,2
38,time left,2
39,left complete,2
40,complete learning,2
41,learning support,2
42,support workshop,2
43,workshop httpstcoqjdtmyxpsr,2
44,electricarchaeo not,2
45,not ragnarok,2
46,ragnarok just,2
47,just end,2
48,end term,2
49,book art,2
